time,num,Longitude,Latitude,Altitude,Pitch,Yaw,Roll,VelocityX,VelocityY,VelocityZ,BatteryVolts,GPSFix,NumberOfSatellites,size(byte),destination,icmp_seq,ttl,pingtime
2026-01-28 16:56:42.772118,39.0000000000,-78.6962749000,35.7273025000,20.6380000000,0.0032985574,0.0024104451,0.0033973053,-0.0100000000,0.0000000000,-2.1800000000,12.5870000000,6.0000000000,10.0000000000,0.0000000000,,153.2960896043,0.0000000000,0.0000000000
2026-01-28 16:56:43.778629,40.0000000000,-78.6962749000,35.7273025000,22.5790000000,0.0033282898,0.0036331613,0.0049769855,-0.0100000000,0.0100000000,-1.6100000000,12.5870000000,6.0000000000,10.0000000000,0.0000000000,,156.7470689151,0.0000000000,0.0000000000
2026-01-28 16:56:44.784365,41.0000000000,-78.6962750000,35.7273025000,23.9490000000,0.0032603650,0.0027778056,0.0045342236,-0.0100000000,0.0100000000,-1.1000000000,12.5870000000,6.0000000000,10.0000000000,64.0000000000,,167.1949249950,64.0000000000,898.0622841521
2026-01-28 16:56:45.786196,42.0000000000,-78.6962750000,35.7273025000,24.7840000000,0.0037845166,0.0029343211,0.0042008446,-0.0100000000,0.0200000000,-0.5500000000,12.5870000000,6.0000000000,10.0000000000,64.0000000000,,172.4104015309,64.0000000000,834.0541630294
2026-01-28 16:56:47.090672,43.0000000000,-78.6962750000,35.7273025000,24.9930000000,0.0039470117,0.0032622889,0.0038140377,-0.0200000000,0.0200000000,0.0500000000,12.5870000000,6.0000000000,10.0000000000,9.5472687456,,177.5967042966,9.5472687456,141.7172704420
2026-01-28 16:56:48.096800,44.0000000000,-78.6962750000,35.7273025000,24.9510000000,0.0039158901,0.0029802474,0.0039325459,-0.0200000000,0.0200000000,-0.0300000000,12.5870000000,6.0000000000,10.0000000000,1.6235651238,,182.3551548708,1.6235651238,15.5507097016
2026-01-28 16:56:49.098709,45.0000000000,-78.6962750000,35.7273026000,24.9530000000,0.0045478595,0.0032456042,0.0035557775,-0.0200000000,0.0200000000,-0.0400000000,12.5870000000,6.0000000000,10.0000000000,28.8735788045,,188.3160953635,28.8735788045,276.5547469865
2026-01-28 16:56:50.105049,46.0000000000,-78.6962752000,35.7273026000,24.9570000000,-0.0209781174,0.0041783694,-0.0602473393,0.0300000000,-0.1400000000,-0.0200000000,12.5870000000,6.0000000000,10.0000000000,56.2441100626,,194.3033990762,56.2441100626,538.7131166936
2026-01-28 16:56:51.107064,47.0000000000,-78.6962888000,35.7273069000,24.9500000000,-0.1103500947,0.0216700677,-0.2961122394,0.9400000000,-2.4100000000,-0.0200000000,12.5870000000,6.0000000000,10.0000000000,0.0000000000,,196.4095462745,0.0000000000,0.0000000000
2026-01-28 16:56:52.110459,48.0000000000,-78.6963268000,35.7273192000,24.9550000000,-0.0889436975,0.0100744888,-0.2501689196,1.6700000000,-4.1800000000,-0.0300000000,12.5870000000,6.0000000000,10.0000000000,0.0000000000,,201.7413304484,0.0000000000,0.0000000000
2026-01-28 16:56:53.115924,49.0000000000,-78.6963757000,35.7273350000,24.9570000000,-0.0619459040,0.0090192929,-0.2044273317,1.8000000000,-4.5200000000,-0.0200000000,12.5870000000,6.0000000000,10.0000000000,0.0000000000,,206.3904871253,0.0000000000,0.0000000000
2026-01-28 16:56:54.123343,50.0000000000,-78.6964273000,35.7273517000,24.9620000000,-0.0591648258,0.0058519621,-0.2026131749,1.8500000000,-4.6800000000,-0.0200000000,12.5870000000,6.0000000000,10.0000000000,0.0000000000,,209.0550709267,0.0000000000,0.0000000000
2026-01-28 16:56:55.124287,51.0000000000,-78.6964802000,35.7273688000,24.9720000000,-0.0544051714,0.0057653352,-0.1927465647,1.8400000000,-4.7100000000,-0.0100000000,12.5870000000,6.0000000000,10.0000000000,16.1483137684,,211.7754914289,16.1483137684,313.3782140685
2026-01-28 16:56:56.236319,52.0000000000,-78.6965380000,35.7273872000,24.9820000000,-0.0539728291,0.0053836256,-0.1882510334,1.8200000000,-4.6900000000,-0.0100000000,12.5870000000,6.0000000000,10.0000000000,0.0000000000,,221.5717438756,0.0000000000,0.0000000000
