time,size(byte),destination,icmp_seq,ttl,pingtime
2026-01-28 16:56:54.858677,0,172.16.0.1:,211,0,0.0
2026-01-28 16:56:54.858677,0,172.16.0.1:,212,0,0.0
2026-01-28 16:56:54.858677,0,172.16.0.1:,213,0,0.0
2026-01-28 16:56:54.858677,0,172.16.0.1:,214,0,0.0
2026-01-28 16:56:54.858677,64,172.16.0.1:,215,64,1209.0
2026-01-28 16:56:55.911359,0,172.16.0.1:,216,0,0.0
2026-01-28 16:56:55.911359,0,172.16.0.1:,217,0,0.0
2026-01-28 16:56:55.911359,0,172.16.0.1:,218,0,0.0
2026-01-28 16:56:55.911359,0,172.16.0.1:,219,0,0.0
2026-01-28 16:56:55.911359,64,172.16.0.1:,220,64,1242.0
2026-01-28 16:56:56.121567,0,172.16.0.1:,221,0,0.0
2026-01-28 16:56:56.121567,64,172.16.0.1:,222,64,1052.0
2026-01-28 16:57:00.135672,0,172.16.0.1:,223,0,0.0
2026-01-28 16:57:00.135672,0,172.16.0.1:,224,0,0.0
2026-01-28 16:57:00.135672,0,172.16.0.1:,225,0,0.0
2026-01-28 16:57:00.135672,0,172.16.0.1:,226,0,0.0
2026-01-28 16:57:00.135672,0,172.16.0.1:,227,0,0.0
2026-01-28 16:57:00.135672,0,172.16.0.1:,228,0,0.0
2026-01-28 16:57:00.135672,0,172.16.0.1:,229,0,0.0
2026-01-28 16:57:00.135672,0,172.16.0.1:,230,0,0.0
2026-01-28 16:57:00.135672,0,172.16.0.1:,231,0,0.0
2026-01-28 16:57:00.135672,0,172.16.0.1:,232,0,0.0
2026-01-28 16:57:00.135672,0,172.16.0.1:,233,0,0.0
2026-01-28 16:57:00.135672,0,172.16.0.1:,234,0,0.0
2026-01-28 16:57:00.135672,0,172.16.0.1:,235,0,0.0
2026-01-28 16:57:00.135672,0,172.16.0.1:,236,0,0.0
2026-01-28 16:57:00.135672,0,172.16.0.1:,237,0,0.0
2026-01-28 16:57:00.135672,0,172.16.0.1:,238,0,0.0
2026-01-28 16:57:00.135672,0,172.16.0.1:,239,0,0.0
2026-01-28 16:57:00.135672,0,172.16.0.1:,240,0,0.0
2026-01-28 16:57:00.135672,0,172.16.0.1:,241,0,0.0
2026-01-28 16:57:00.135672,64,172.16.0.1:,242,64,982.0
2026-01-28 16:57:05.242541,0,172.16.0.1:,243,0,0.0
2026-01-28 16:57:05.242541,0,172.16.0.1:,244,0,0.0
2026-01-28 16:57:05.242541,0,172.16.0.1:,245,0,0.0
2026-01-28 16:57:05.242541,0,172.16.0.1:,246,0,0.0
2026-01-28 16:57:05.242541,0,172.16.0.1:,247,0,0.0
2026-01-28 16:57:05.242541,0,172.16.0.1:,248,0,0.0
2026-01-28 16:57:05.242541,0,172.16.0.1:,249,0,0.0
2026-01-28 16:57:05.242541,0,172.16.0.1:,250,0,0.0
2026-01-28 16:57:05.242541,0,172.16.0.1:,251,0,0.0
2026-01-28 16:57:05.242541,0,172.16.0.1:,252,0,0.0
2026-01-28 16:57:05.242541,0,172.16.0.1:,253,0,0.0
